Field=#~Integer~#~50|Field=Fitted~String~Fitted~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=PartNumber~String~PartNumber~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer~String~Manufacturer~100|Field=PackageReference~String~PackageReference~100|Field=Value~String~Value~100|Field=Alternate Manufacturer~String~Alternate Manufacturer~100|Field=Alternate PartNumber~String~Alternate PartNumber~100|ReportField=Currency~USD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~DC075B.PrjPcb|ReportField=ProjectFullPath~C:\Users\a0273681\TI Drive\Aroul\Projects\1_Ultrasound\AFE58xx32\AFE58JD32LP\DC075\Rev. B\DC075B.PrjPcb|ReportField=Title~BOM (EVM format) For Variant [002] of Project [DC075B.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~12:06:55 AM|ReportField=ReportDate~3/19/2020|ReportField=ReportDateTime~3/19/2020 12:06:55 AM|ReportField=OutputName~BOM (EVM format)|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~002|ReportField=TotalQuantity~588|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=EVM_Orderable~AFE5832LPEVM|ReportField=CopyrightYear~2018|ReportField=PCB_Layout~Tessolve|ReportField=PCB_Rev~A|ReportField=PRJ_Customer~Public Release|ReportField=PRJ_Engineer~Praveen Aroul|ReportField=PRJ_Number~DC075|ReportField=PRJ_Title~AFE58JD32LP/AFE5832LP|ReportField=SCH_Rev~B|ReportField=TechSupport~http://www.ti.com/support|ReportField=TID~N/A|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~3/18/2020|ReportField=CurrentTime~11:58:43 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\a0273681\TI Drive\Aroul\Projects\1_Ultrasound\AFE58xx32\AFE58JD32LP\DC075\Rev. B\DC075B_ANALOG_INPUTS.SchDoc|ReportField=DocumentName~DC075B_ANALOG_INPUTS.SchDoc|ReportField=DocumentNumber~5|ReportField=DrawnBy~Praveen Aroul|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~12/15/2018|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=ProjectName~DC075B.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~5|ReportField=SheetTotal~13|ReportField=Time~|ReportField=Title~ANALOG INPUTS|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~DC075B.PrjPcb|ReportField=DataSourceFullPath~C:\Users\a0273681\TI Drive\Aroul\Projects\1_Ultrasound\AFE58xx32\AFE58JD32LP\DC075\Rev. B\DC075B.PrjPcb|ReportField=PCBConfigurationName~Bare PCB|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Fitted|Printed Circuit Board|!PCB|DC075|1|Any||||
2|Fitted|CAP, CERM, 0.01 µF, 25 V,+/- 5%, X7R, 0402|C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64|04023C103JAT2A|64|AVX|0402|0.01uF||
3|Fitted|CAP, CERM, 0.1 uF, 16 V, +/- 10%, X7R, 0402|C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C90, C91, C92, C93, C94, C95, C96, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C132, C136, C139, C141, C142, C143, C144, C146, C147, C148, C149, C150, C151, C155, C157, C162, C167, C168, C169, C170, C171, C172, C173, C174, C175, C179, C180, C210, C211, C212, C213, C214, C217, C218, C219, C220, C230, C233, C235, C237, C239, C249, C252, C253, C256, C257, C258, C259, C261|GRM155R71C104KA88D|107|MuRata|0402|0.1uF||
4|Fitted|CAP, CERM, 10 µF, 10 V,+80/-20%, Y5V, 0805|C75|CC0805ZKY5V6BB106|1|Yageo|0805|10uF||
5|Fitted|CAP, CERM, 10 uF, 6.3 V, +/- 20%, X5R, 0603|C97|C0603C106M9PACTU|1|Kemet|0603|10uF||
6|Fitted|CAP, CERM, 1000 pF, 25 V, +/- 10%, X7R, 0402|C98, C221, C228, C231, C232, C240, C246|885012205044|7|Wurth Elektronik|0402|1000pF||
7|Fitted|CAP, CERM, 10 pF, 10 V,+/- 2.5%, C0G/NP0, 0402|C127, C129, C159|C0402C100C8GACTU|3|Kemet|0402|10pF||
8|Fitted|CAP, CERM, 0.68 uF, 10 V, +/- 10%, X5R, 0603|C131|C0603C684K8PACTU|1|Kemet|0603|0.68uF||
9|Fitted|CAP, CERM, 47 pF, 100 V,+/- 5%, C0G/NP0, AEC-Q200 Grade 1, 0603|C133|C0603C470J1GACAUTO|1|Kemet|0603|47pF||
10|Fitted|CAP, CERM, 3900 pF, 50 V,+/- 10%, X7R, 0402|C134|CL05B392KB5NNNC|1|Samsung Electro-Mechanics|0402|3900pF||
11|Fitted|CAP, CERM, 10 uF, 6.3 V, +/- 20%, X5R, 0603|C135, C138, C145, C153|GRM188R60J106ME47D|4|MuRata|0603|10uF||
12|Fitted|CAP, CERM, 100 pF, 50 V, +/- 10%, X7R, 0402|C137, C140, C154, C161|CC0402KRX7R9BB101|4|Yageo America|0402|100pF||
13|Fitted|CAP, CERM, 0.1 uF, 25 V, +/- 5%, X7R, 0603|C152|06033C104JAT2A|1|AVX|0603|0.1uF||
14|Fitted|CAP, CERM, 0.01 uF, 16 V, +/- 10%, X5R, 0402|C158|GRM155R61C103KA01D|1|MuRata|0402|0.01uF||
15|Fitted|CAP, CERM, 2200 pF, 50 V,+/- 10%, X7R, 0402|C160|500R07W222KV4T|1|Johanson Technology|0402|2200pF||
16|Fitted|CAP, CERM, 1 uF, 6.3 V, +/- 20%, X5R, 0402|C176, C177, C178|GRM152R60J105ME15D|3|MuRata|0402|1uF||
17|Fitted|CAP, CERM, 0.1 µF, 25 V,+/- 10%, X5R, 0603|C181, C182, C184, C186, C189, C190, C192, C195, C198, C200, C201, C205, C208|CL10A104KA8NNNC|13|Samsung Electro-Mechanics|0603|0.1uF||
